date,nasdaq,yahoo,split,div,rn,ry,ecart_r,ratio_prix,titre
2023-02-21,123.48,123.4800033569336,0.0,0.0,-0.014682413022661933,-0.014682383836349566,-2.9186312366924483e-08,1.0000000271860512,PLD
2023-02-22,122.9,122.9000015258789,0.0,0.0,-0.004697116942014912,-0.004697131643073615,1.4701058703714409e-08,1.0000000124156134,PLD
2023-02-23,124.01,124.01000213623048,0.0,0.0,0.009031733116354745,0.009031737970465636,-4.8541108910171715e-09,1.000000017226276,PLD
2023-02-24,121.38,121.37999725341795,0.0,0.0,-0.021207967099427516,-0.021208006108437538,3.900901002218404e-08,0.9999999773720379,PLD
2023-02-27,122.91,122.91000366210938,0.0,0.0,0.012605042016806678,0.012605095100612473,-5.308380579549521e-08,1.0000000297950482,PLD
2023-02-28,123.4,123.4000015258789,0.0,0.0,0.003986656903425256,0.0039866394041983,1.7499226956374514e-08,1.0000000123653072,PLD
2023-03-01,121.13,121.12999725341795,0.0,0.0,-0.01839546191247987,-0.01839549630787396,3.439539408844894e-08,0.9999999773253361,PLD
2023-03-02,124.62,124.62000274658205,0.0,0.0,0.028812020143647477,0.02881206614627918,-4.6002631703956354e-08,1.000000022039657,PLD
2023-03-03,126.95,126.9499969482422,0.0,0.0,0.01869683838870162,0.018696791448466366,4.6940235254311347e-08,0.9999999759609468,PLD
2023-03-06,127.16,127.16000366210938,0.0,0.0,0.0016541945647892131,0.0016542474904728266,-5.29256836134806e-08,1.0000000287992243,PLD
2023-03-07,123.82,123.81999969482422,0.0,0.0,-0.026266121421830824,-0.026266151864545728,3.0442714904488355e-08,0.9999999975353273,PLD
2023-03-08,125.06,125.05999755859376,0.0,0.0,0.01001453723146506,0.010014520003438276,1.7228026782944994e-08,0.9999999804781206,PLD
2023-03-09,121.3,121.3000030517578,0.0,0.0,-0.030065568527107067,-0.03006552518981387,-4.333729319849766e-08,1.0000000251587617,PLD
2023-03-10,116.98,116.9800033569336,0.0,0.0,-0.035614179719703154,-0.03561417630781838,-3.411884774706664e-09,1.0000000286966455,PLD
2023-03-13,118.37,118.37000274658205,0.0,0.0,0.011882373055223105,0.011882367496667268,5.5585558378368205e-09,1.0000000232033628,PLD
2023-03-14,119.83,119.83000183105467,0.0,0.0,0.012334206302272444,0.012334198281623188,8.020649255868761e-09,1.0000000152804362,PLD
2023-03-15,120.01,120.01000213623048,0.0,0.0,0.0015021280146876315,0.0015021305384739225,-2.5237862910643116e-09,1.0000000178004373,PLD
2023-03-16,120.09,120.08999633789062,0.0,0.87,0.0006666111157402899,0.0006665627884028247,4.8327337465181586e-08,0.9999999695052929,PLD
2023-03-17,116.03,116.02999877929688,0.0,0.0,-0.033807977350320595,-0.033807958051479625,-1.9298840969739217e-08,0.999999989479418,PLD
2023-03-20,118.7,118.6999969482422,0.0,0.0,0.023011290183573285,0.023011274644792357,1.5538780928636697e-08,0.9999999742901617,PLD
2023-03-21,118.36,118.36000061035156,0.0,0.0,-0.002864363942712722,-0.0028643331645483716,-3.077816435048675e-08,1.0000000051567384,PLD
2023-03-22,114.12,114.12000274658205,0.0,0.0,-0.035822913146333124,-0.035822894913019265,-1.8233313858750932e-08,1.0000000240674907,PLD
2023-03-23,114.15,114.1500015258789,0.0,0.0,0.0002628811777076745,0.0002628704747185129,1.070298916161505e-08,1.0000000133673141,PLD
2023-03-24,117.03,117.02999877929688,0.0,0.0,0.025229960578186494,0.025229936179764767,2.43984217274118e-08,0.9999999895693145,PLD
2023-03-27,117.06,117.05999755859376,0.0,0.0,0.00025634452704426103,0.00025633409903269566,1.0428011565366546e-08,0.9999999791439754,PLD
2023-03-28,116.65,116.6500015258789,0.0,0.0,-0.0035024773620365712,-0.0035024435440436097,-3.381799296153787e-08,1.0000000130808306,PLD
2023-03-29,119.88,119.87999725341795,0.0,0.0,0.027689669952850382,0.02768963296432081,3.698852957256804e-08,0.9999999770889052,PLD
2023-03-30,121.92,121.91999816894533,0.0,0.0,0.017017017017016967,0.017017025043927436,-8.026910469638437e-09,0.9999999849815069,PLD
2023-03-31,124.77,124.7699966430664,0.0,0.0,0.023375984251968518,0.023375972087629204,1.2164339313613937e-08,0.9999999730950261,PLD
