cik,nom,symboles,secteur,sous_secteur,annee,chiffre_affaires,ca_etiquette,ca_nb_etiquettes,ca_ecart_relatif,fin_exercice,ca_depot,capex,capex_etiquette,rd,rd_etiquette
0000074208,"UDR, Inc.",UDR,Real Estate,Multi-Family Residential REITs,2024,1671842000.0,Revenues,2.0,0.995025247601149,2024-12-31,0000074208-26-000013,249886000.0,PaymentsForCapitalImprovements,,
0000920522,Essex Property Trust,ESS,Real Estate,Multi-Family Residential REITs,2024,1774450000.0,Revenues,2.0,0.9942151089069853,2024-12-31,0000920522-26-000003,2874000.0,PaymentsToDevelopRealEstateAssets,,
0000920522,Essex Property Trust,ESS,Real Estate,Multi-Family Residential REITs,2021,1440556000.0,Revenues,2.0,0.9936566159177429,2021-12-31,0000920522-24-000033,49784000.0,PaymentsToDevelopRealEstateAssets,,
0000920522,Essex Property Trust,ESS,Real Estate,Multi-Family Residential REITs,2020,1495748000.0,Revenues,2.0,0.9935831436846314,2020-12-31,0000920522-23-000005,108781000.0,PaymentsToDevelopRealEstateAssets,,
0000920522,Essex Property Trust,ESS,Real Estate,Multi-Family Residential REITs,2019,1460155000.0,Revenues,2.0,0.9934753502196685,2019-12-31,0000920522-22-000019,158234000.0,PaymentsToDevelopRealEstateAssets,,
0000920522,Essex Property Trust,ESS,Real Estate,Multi-Family Residential REITs,2018,1400053000.0,Revenues,3.0,0.9934409625921304,2018-12-31,0000920522-21-000015,182772000.0,PaymentsToDevelopRealEstateAssets,,
0000074208,"UDR, Inc.",UDR,Real Estate,Multi-Family Residential REITs,2025,1712317000.0,Revenues,2.0,0.9933651304051762,2025-12-31,0000074208-26-000013,252857000.0,PaymentsForCapitalImprovements,,
0000920522,Essex Property Trust,ESS,Real Estate,Multi-Family Residential REITs,2023,1669395000.0,Revenues,2.0,0.9933323150003445,2023-12-31,0000920522-26-000003,7872000.0,PaymentsToDevelopRealEstateAssets,,
0000920522,Essex Property Trust,ESS,Real Estate,Multi-Family Residential REITs,2022,1606814000.0,Revenues,2.0,0.9930676481534266,2022-12-31,0000920522-25-000024,27713000.0,PaymentsToDevelopRealEstateAssets,,
0001512673,"Block, Inc.",XYZ,Financials,Transaction & Payment Processing Services,2014,850192000.0,SalesRevenueNet,2.0,0.9913866514857821,2014-12-31,0001628280-17-001754,28794000.0,PaymentsToAcquirePropertyPlantAndEquipment,144637000.0,ResearchAndDevelopmentExpense
0000074208,"UDR, Inc.",UDR,Real Estate,Multi-Family Residential REITs,2018,1046859000.0,Revenues,2.0,0.9887721269053426,2018-12-31,0000074208-21-000025,4850000.0,PaymentsToAcquireProductiveAssets,,
0000074208,"UDR, Inc.",UDR,Real Estate,Multi-Family Residential REITs,2017,995791000.0,Revenues,2.0,0.9884694679907732,2017-12-31,0000074208-20-000031,1384000.0,PaymentsToAcquireProductiveAssets,,
0000074208,"UDR, Inc.",UDR,Real Estate,Multi-Family Residential REITs,2016,959861000.0,Revenues,2.0,0.9881232803499673,2016-12-31,0000074208-19-000028,4439000.0,PaymentsToAcquireProductiveAssets,,
0000074208,"UDR, Inc.",UDR,Real Estate,Multi-Family Residential REITs,2019,1152193000.0,Revenues,2.0,0.98780152283515,2019-12-31,0000074208-22-000010,167188000.0,PaymentsForCapitalImprovements,,
0001512673,"Block, Inc.",XYZ,Financials,Transaction & Payment Processing Services,2015,1267118000.0,SalesRevenueNet,2.0,0.9870753947146201,2015-12-31,0001512673-18-000004,37432000.0,PaymentsToAcquirePropertyPlantAndEquipment,199638000.0,ResearchAndDevelopmentExpense
0001099219,MetLife,MET,Financials,Life & Health Insurance,2018,67941000000.0,Revenues,2.0,0.981513371896204,2018-12-31,0001099219-21-000050,,,,
0001099219,MetLife,MET,Financials,Life & Health Insurance,2019,69620000000.0,Revenues,2.0,0.9814852054007469,2019-12-31,0001099219-22-000014,,,,
0001512673,"Block, Inc.",XYZ,Financials,Transaction & Payment Processing Services,2017,2214253000.0,Revenues,3.0,0.9812961752789767,2017-12-31,0001628280-20-002303,26097000.0,PaymentsToAcquirePropertyPlantAndEquipment,321888000.0,ResearchAndDevelopmentExpense
0001099219,MetLife,MET,Financials,Life & Health Insurance,2020,67842000000.0,Revenues,2.0,0.9800418619734088,2020-12-31,0001099219-23-000045,,,,
0001512673,"Block, Inc.",XYZ,Financials,Transaction & Payment Processing Services,2016,1708721000.0,Revenues,3.0,0.974070079316635,2016-12-31,0001512673-19-000003,25433000.0,PaymentsToAcquirePropertyPlantAndEquipment,268537000.0,ResearchAndDevelopmentExpense
0001099219,MetLife,MET,Financials,Life & Health Insurance,2021,68696000000.0,Revenues,2.0,0.9698090136252475,2021-12-31,0001099219-24-000035,,,,
0001099219,MetLife,MET,Financials,Life & Health Insurance,2022,68770000000.0,Revenues,2.0,0.9693180165769958,2022-12-31,0001099219-25-000044,,,,
0000779152,Jack Henry & Associates,JKHY,Financials,Transaction & Payment Processing Services,2017,1431117000.0,Revenues,3.0,0.9689794754726553,2017-06-30,0000779152-18-000060,41947000.0,PaymentsToAcquirePropertyPlantAndEquipment,84753000.0,ResearchAndDevelopmentExpense
0001099219,MetLife,MET,Financials,Life & Health Insurance,2025,77084000000.0,Revenues,2.0,0.9683981111514711,2025-12-31,0001099219-26-000013,,,,
0001099219,MetLife,MET,Financials,Life & Health Insurance,2024,70986000000.0,Revenues,2.0,0.9683740455864537,2024-12-31,0001099219-26-000013,,,,
