serie,titre,poids,contribution,part_du_risque,rang
P1_reeq,TDY,0.006850825698119205,0.001029618470442342,0.004130592901764228,60
P1_reeq,TEL,0.005206885073559148,0.0010286390221687992,0.004126663580173287,61
P1_reeq,TSLA,0.004704172828403029,0.001000391578380613,0.0040133413213424615,62
P1_reeq,HWM,0.007127484348922563,0.0009982218426809184,0.004004636839889237,63
P1_reeq,AME,0.006615368338521186,0.0009602861682235251,0.0038524476240430726,64
P1_reeq,BKR,0.007839882643348929,0.0009129445988289504,0.003662524117313829,65
P1_reeq,CDNS,0.005488155972739854,0.0009053960754718571,0.0036322411747552953,66
P1_reeq,NDSN,0.00768728153002352,0.0008620324738552585,0.003458276361405063,67
P1_reeq,SLB,0.008326120703854866,0.00085406076753645,0.003426295705967449,68
P1_reeq,LII,0.00455572601062716,0.0008313934969094917,0.003335359820644939,69
P1_reeq,SNPS,0.0047711617124759475,0.00077649122337192,0.0031151045048408398,70
P1_reeq,DLR,0.007072411311342202,0.0007749766457497051,0.0031090283671693746,71
P1_reeq,PH,0.006266700990896197,0.0007710974067177206,0.003093465750851042,72
P1_reeq,DOV,0.005734701889185233,0.0007506430359585267,0.0030114075117135077,73
P1_reeq,IEX,0.007272278111868984,0.0007455333731474579,0.0029909087177002825,74
P1_reeq,TPL,0.007078887955182866,0.0007452852249364382,0.0029899132040528023,75
P1_reeq,EQIX,0.007890797476010793,0.0006796993775371208,0.002726797842876904,76
P1_reeq,ARES,0.004903971074171783,0.0006249818369301362,0.0025072836331754157,77
P1_reeq,AMZN,0.006642545940172651,0.0005884838913672659,0.002360862255549778,78
P1_reeq,CRH,0.004338787284167265,0.0005699854915434405,0.0022866509227116413,79
P1_reeq,APP,0.003017320446076865,0.0005110626474449062,0.002050266000944841,80
P1_reeq,AES,0.005808251150880519,0.0004848516575021655,0.0019451135273696677,81
P1_reeq,MMM,0.0060624435648055355,0.0004673809951804419,0.0018750252414201855,82
P1_reeq,VMC,0.0052230144977362695,0.0004380399076505111,0.0017573155349994108,83
P1_reeq,META,0.005519013698814549,0.0004351354460116706,0.0017456635017723,84
P1_reeq,HAL,0.007288804047082505,0.00040043472829392535,0.00160645218961561,85
P1_reeq,EXPD,0.007235757587130298,0.00040024888053781483,0.001605706611088965,86
P1_reeq,ETR,0.006651554032054064,0.00039430773885497193,0.0015818721147507404,87
P1_reeq,MLM,0.0047222404423903205,0.00039081629064307573,0.0015678652261653598,88
P1_reeq,XYL,0.004486319343481782,0.0003672285680490932,0.0014732366988880377,89
P1_reeq,FAST,0.007138318802027315,0.00036679413760904654,0.0014714938637083266,90
P1_reeq,CDW,0.006660082266687658,0.000352622586837295,0.0014146408558173163,91
P1_reeq,ITW,0.006301030650848485,0.00034006469512309505,0.0013642614775671252,92
P1_reeq,GOOGL,0.003125254933349346,0.00030344032975603095,0.001217332932713203,93
P1_reeq,GOOG,0.0030944992930899006,0.0002956116600212446,0.0011859261072093127,94
P1_reeq,DOW,0.007059816907258651,0.0002676655045787509,0.0010738125480452354,95
P1_reeq,NEE,0.005999818490845832,0.0002546551842878669,0.0010216181302235379,96
P1_reeq,WMB,0.007092118795854294,0.0002449976912007488,0.0009828744853301542,97
P1_reeq,PLD,0.006193903306938359,0.00023172982619981832,0.0009296468572643283,98
P1_reeq,GD,0.006091035522679182,0.0002292133759619215,0.0009195514366899151,99
P1_reeq,HD,0.00540316152861891,0.00022254423358433032,0.0008927963687142034,100
P1_reeq,NI,0.005713736765187674,0.00021604379443749058,0.0008667180993657999,101
P1_reeq,SRE,0.005452185270951364,0.00020021631170369968,0.0008032218726470761,102
P1_reeq,ECL,0.00618877008696139,0.00017925042205663486,0.0007191115371767611,103
P1_reeq,PEG,0.005296164809951966,0.00016788021319187127,0.0006734968698250848,104
P1_reeq,EQT,0.006006195047416263,0.0001644211350504531,0.0006596198425302545,105
P1_reeq,MSFT,0.006149343025661777,0.00015465267010723494,0.0006204310040294702,106
P1_reeq,CBRE,0.005371695023653341,0.00011697801842778797,0.0004692889516372797,107
