fichier,test,date,detail
COHR.csv,prix fige,1989-02-27,0.4531
COHR.csv,prix fige,1989-04-05,0.3906
COHR.csv,prix fige,1989-04-10,0.3984
COHR.csv,prix fige,1989-04-13,0.3828
COHR.csv,prix fige,1989-04-14,0.3828
COHR.csv,prix fige,1989-04-18,0.4062
COHR.csv,prix fige,1989-07-13,0.4609
COHR.csv,prix fige,1989-07-18,0.4453
COHR.csv,prix fige,1989-08-10,0.4453
COHR.csv,prix fige,1989-08-28,0.4453
COHR.csv,prix fige,1989-09-13,0.4375
COHR.csv,prix fige,1989-10-12,0.4219
COHR.csv,prix fige,1989-10-18,0.4219
COHR.csv,prix fige,1989-11-10,0.4062
COHR.csv,prix fige,1989-11-13,0.4062
COHR.csv,prix fige,1989-11-21,0.4219
COHR.csv,prix fige,1989-12-27,0.4688
COHR.csv,prix fige,1989-12-28,0.4688
COHR.csv,prix fige,1990-02-21,0.4062
COHR.csv,prix fige,1990-03-02,0.4141
COHR.csv,prix fige,1990-03-09,0.4141
COHR.csv,prix fige,1990-04-02,0.4297
COHR.csv,prix fige,1990-04-03,0.4297
COHR.csv,prix fige,1990-04-27,0.3516
COHR.csv,prix fige,1990-06-05,0.3125
COHR.csv,prix fige,1990-06-08,0.3203
COHR.csv,prix fige,1990-06-11,0.3203
COHR.csv,prix fige,1990-07-03,0.2422
COHR.csv,prix fige,1990-07-05,0.2422
COHR.csv,prix fige,1990-07-19,0.2266
COHR.csv,prix fige,1990-07-23,0.2422
COHR.csv,prix fige,1990-07-31,0.2188
COHR.csv,prix fige,1990-08-01,0.2188
COHR.csv,prix fige,1990-08-22,0.2031
COHR.csv,prix fige,1990-08-24,0.1953
COHR.csv,prix fige,1990-08-31,0.2031
COHR.csv,prix fige,1990-09-04,0.2031
COHR.csv,prix fige,1990-09-07,0.2188
COHR.csv,prix fige,1990-09-13,0.2031
COHR.csv,prix fige,1990-09-17,0.2109
COHR.csv,prix fige,1990-09-27,0.2109
COHR.csv,prix fige,1990-10-05,0.2031
COHR.csv,prix fige,1990-10-08,0.2031
COHR.csv,prix fige,1990-10-09,0.2031
COHR.csv,prix fige,1990-10-16,0.2031
COHR.csv,prix fige,1990-10-19,0.2109
COHR.csv,prix fige,1990-10-26,0.2109
COHR.csv,prix fige,1990-10-31,0.2109
COHR.csv,prix fige,1990-11-02,0.2109
COHR.csv,prix fige,1990-11-14,0.2188
COHR.csv,prix fige,1990-11-26,0.2031
COHR.csv,prix fige,1990-11-27,0.2031
COHR.csv,prix fige,1990-12-06,0.2109
COHR.csv,prix fige,1990-12-10,0.2109
COHR.csv,prix fige,1991-01-08,0.2031
COHR.csv,prix fige,1991-01-11,0.2031
COHR.csv,prix fige,1991-01-14,0.2031
COHR.csv,prix fige,1991-01-15,0.2031
COHR.csv,prix fige,1991-01-24,0.2031
COHR.csv,prix fige,1991-02-05,0.2109
COHR.csv,prix fige,1991-02-22,0.2188
COHR.csv,prix fige,1991-02-25,0.2188
COHR.csv,prix fige,1991-02-26,0.2188
COHR.csv,prix fige,1991-02-27,0.2188
COHR.csv,prix fige,1991-02-28,0.2188
COHR.csv,prix fige,1991-03-15,0.2344
COHR.csv,prix fige,1991-03-18,0.2344
COHR.csv,prix fige,1991-03-20,0.2344
COHR.csv,prix fige,1991-03-22,0.2188
COHR.csv,prix fige,1991-03-25,0.2188
COHR.csv,prix fige,1991-03-27,0.2188
COHR.csv,prix fige,1991-04-04,0.2266
COHR.csv,prix fige,1991-04-09,0.2266
COHR.csv,prix fige,1991-04-19,0.2188
COHR.csv,prix fige,1991-04-22,0.2188
COHR.csv,prix fige,1991-04-23,0.2188
