date,serie,titre,poids
2025-07-31,P1_reeq,GNRC,0.008079498165219738
2025-08-29,P1_reeq,GNRC,0.007652297460789836
2025-09-30,P1_reeq,GNRC,0.006385839821441825
2025-10-31,P1_reeq,GNRC,0.005982029796702597
2025-11-28,P1_reeq,GNRC,0.005355270109231515
2025-12-31,P1_reeq,GNRC,0.004803894668194147
2026-01-30,P1_reeq,GNRC,0.008434862090895293
2026-02-27,P1_reeq,GNRC,0.010507086371918543
2026-03-31,P1_reeq,GNRC,0.009536683515853156
2026-04-30,P1_reeq,GNRC,0.010826412267465987
2026-05-29,P1_reeq,GNRC,0.01078420151669942
2026-06-30,P1_reeq,GNRC,0.010900061024908415
2026-07-31,P1_reeq,GNRC,0.008232373361137007
2026-08-31,P1_reeq,GNRC,0.0076871617880001925
2026-09-04,P1_reeq,GNRC,0.007663892533344668
2000-01-31,P1_reeq,GOOG,0.0
2000-02-29,P1_reeq,GOOG,0.0
2000-03-31,P1_reeq,GOOG,0.0
2000-04-28,P1_reeq,GOOG,0.0
2000-05-31,P1_reeq,GOOG,0.0
2000-06-30,P1_reeq,GOOG,0.0
2000-07-31,P1_reeq,GOOG,0.0
2000-08-31,P1_reeq,GOOG,0.0
2000-09-29,P1_reeq,GOOG,0.0
2000-10-31,P1_reeq,GOOG,0.0
2000-11-30,P1_reeq,GOOG,0.0
2000-12-29,P1_reeq,GOOG,0.0
2001-01-31,P1_reeq,GOOG,0.0
2001-02-28,P1_reeq,GOOG,0.0
2001-03-30,P1_reeq,GOOG,0.0
2001-04-30,P1_reeq,GOOG,0.0
2001-05-31,P1_reeq,GOOG,0.0
2001-06-29,P1_reeq,GOOG,0.0
2001-07-31,P1_reeq,GOOG,0.0
2001-08-31,P1_reeq,GOOG,0.0
2001-09-28,P1_reeq,GOOG,0.0
2001-10-31,P1_reeq,GOOG,0.0
2001-11-30,P1_reeq,GOOG,0.0
2001-12-31,P1_reeq,GOOG,0.0
2002-01-31,P1_reeq,GOOG,0.0
2002-02-28,P1_reeq,GOOG,0.0
2002-03-28,P1_reeq,GOOG,0.0
2002-04-30,P1_reeq,GOOG,0.0
2002-05-31,P1_reeq,GOOG,0.0
2002-06-28,P1_reeq,GOOG,0.0
2002-07-31,P1_reeq,GOOG,0.0
2002-08-30,P1_reeq,GOOG,0.0
2002-09-30,P1_reeq,GOOG,0.0
2002-10-31,P1_reeq,GOOG,0.0
2002-11-29,P1_reeq,GOOG,0.0
2002-12-31,P1_reeq,GOOG,0.0
2003-01-31,P1_reeq,GOOG,0.0
2003-02-28,P1_reeq,GOOG,0.0
2003-03-31,P1_reeq,GOOG,0.0
2003-04-30,P1_reeq,GOOG,0.0
2003-05-30,P1_reeq,GOOG,0.0
2003-06-30,P1_reeq,GOOG,0.0
2003-07-31,P1_reeq,GOOG,0.0
2003-08-29,P1_reeq,GOOG,0.0
2003-09-30,P1_reeq,GOOG,0.0
2003-10-31,P1_reeq,GOOG,0.0
2003-11-28,P1_reeq,GOOG,0.0
2003-12-31,P1_reeq,GOOG,0.0
2004-01-30,P1_reeq,GOOG,0.0
2004-02-27,P1_reeq,GOOG,0.0
2004-03-31,P1_reeq,GOOG,0.0
2004-04-30,P1_reeq,GOOG,0.0
2004-05-28,P1_reeq,GOOG,0.0
2004-06-30,P1_reeq,GOOG,0.0
2004-07-30,P1_reeq,GOOG,0.0
2004-08-31,P1_reeq,GOOG,0.0
2004-09-30,P1_reeq,GOOG,0.0
2004-10-29,P1_reeq,GOOG,0.0
2004-11-30,P1_reeq,GOOG,0.0
2004-12-31,P1_reeq,GOOG,0.0
2005-01-31,P1_reeq,GOOG,0.0
2005-02-28,P1_reeq,GOOG,0.0
2005-03-31,P1_reeq,GOOG,0.0
2005-04-29,P1_reeq,GOOG,0.0
2005-05-31,P1_reeq,GOOG,0.0
2005-06-30,P1_reeq,GOOG,0.0
2005-07-29,P1_reeq,GOOG,0.0
2005-08-31,P1_reeq,GOOG,0.0
2005-09-30,P1_reeq,GOOG,0.0
2005-10-31,P1_reeq,GOOG,0.0
2005-11-30,P1_reeq,GOOG,0.0
2005-12-30,P1_reeq,GOOG,0.0
2006-01-31,P1_reeq,GOOG,0.0
2006-02-28,P1_reeq,GOOG,0.0
2006-03-31,P1_reeq,GOOG,0.0
2006-04-28,P1_reeq,GOOG,0.0
